重力场数据处理
扰动重力场元点值计算,DisturbParaEvent,DisturbPara,
正常重力场元点值计算,NormalGrafdEvent,NormalGrafd,
模型重力场元点值计算,ModelGravfdEvent,ModelGravfd,
椭球面或球面边值校正,EllipAdjustEvent,EllipAdjust,
Molodensky边值改正,MolodeskyIntgEvent,MolodeskyIntg,
扰动场元正常椭球变换,EllipchgAdjEvent,EllipchgAdj,
不同高度多种场元融合,MultiGragrdEvent,MultiGragrd,
不同高度离散场元融合,MultiHgtGravEvent,MultiHgtGrav,
径向梯度法解析延拓,ContinuGradEvent,ContinuGrad,
格网水平梯度向量估计,HorGradientEvent,HorGradient,
格网数据低通滤波运算,GrdLowpFltrEvent,GrdLowpFltr,
文件数据统计信息提取,StatistInforEvent,StatistInfor,
地球外部地形影响
局部地形影响数值积分,LTerInfluNintgEvent,LTerInfluNintg,
局部地形影响积分 FFT,LTerInfluenFFTEvent,LTerInfluenFFT,
陆海重力平面布格影响,TrinfluenPlateEvent,TrinfluenPlate,
球壳地形质量影响计算,TrinfluGlcrustEvent,TrinfluGlcrust,
局部地形质量补偿积分,HCompenstNintgEvent,HCompenstNintg,
局部地形质量补偿 FFT,HCompensateFFTEvent,HCompensateFFT,
海水完全布格影响积分,OWtBougueNintgEvent,OWtBougueNintg,
海水完全布格影响 FFT,OWatrBougueFFTEvent,OWatrBougueFFT,
江河湖库布格影响积分,LakeBougueInflEvent,LakeBougueInfl,
陆海地面重力均衡影响,IsostInflNintgEvent,IsostInflNintg,
陆海地形质量球谐分析,GlobalterrHarmEvent,GlobalterrHarm,
完全布格影响球谐计算,GlHarmTerrInflEvent,GlHarmTerrInfl,
扰动场元积分运算
广义Stokes数值积分,StokesNumintgEvent,StokesNumintg,
广义Stokes积分 FFT,StokesFFTintgEvent,StokesFFTintg,
广义Hotine数值积分,HotineNumintgEvent,HotineNumintg,
广义Hotine积分 FFT,HotineFFTintgEvent,HotineFFTintg,
广义V_M空间异常积分,VManomalyNintEvent,VManomalyNint,
广义V_M空间异常 FFT,VManomalyFFTEvent,VManomalyFFT,
广义V_M扰动重力积分,VMdisturbNintEvent,VMdisturbNint,
广义V_M扰动重力 FFT,VMdisturbFFTEvent,VMdisturbFFT,
高程异常逆远算数值积分,AnStokesNintEvent,AnStokesNint,
高程异常逆远算积分 FFT,AnStokesFFTEvent,AnStokesFFT,
垂线偏差逆远算数值积分,AnVMdeflNintEvent,AnVMdeflNint,
垂线偏差逆远算积分 FFT,AnVMdeflFFTEvent,AnVMdeflFFT,
场元径向梯度数值积分,RadiGradNintEvent,RadiGradNint,
场元径向梯度积分 FFT,RadiGradFFTEvent,RadiGradFFT,
场元Possion数值积分,PossionNintEvent,PossionNint,
扰动重力梯度积分运算,VgradNintgEvent,VgradNintg,
扰动重力梯度的逆运算,AngradNintEvent,GAngradNint,
高程基准优化及应用
重力大地水准面误差估计,GeoidNoiseInfEvent,GeoidNoiseInf,
重力数据的系统偏差影响,GeoidSystdevtEvent,GeoidSystdevt,
高程异常模型径向变化计算,DksiwthDhgtmdEvent,DksiwthDhgtmd,
高程异常径向变化残差精化,DksiwthDhgtmsEvent,DksiwthDhgtms,
正高与正常高模型差异计算,HghtsyModlDifEvent,HghtsyModlDif,
正高与正常高残余差别精化,HeightSysDiffEvent,HeightSysDiff,
